customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure
82,Gleda,Cokely,Female,93,28-06-1965,Software Test Engineer III,Property,High Net Worth,N,¡Šü?‹‹‹Ç‹‹‹?Šü‹‹,No,19
83,Kerr,Simmell,Male,97,26-02-1967,Internal Auditor,IT,Mass Customer,N,?µ ? ? ?,Yes,18
84,Rich,Mathiasen,Male,78,07-02-1958,Accountant III,n/a,Mass Customer,N,“Â’??’“ “«’“¡µÂ“,Yes,14
85,Kane,Tixall,Male,1,21-05-1958,Analyst Programmer,n/a,Mass Customer,N,NIL,No,8
86,Job,Sleney,Male,75,04-03-1989,Occupational Therapist,Health,High Net Worth,N,1,Yes,7
87,Fields,Langdon,Male,78,23-04-1974,Editor,Financial Services,Mass Customer,N,"__•?(,_,*)",No,8
88,Malynda,Tumber,Female,41,03-02-1966,Help Desk Operator,Property,High Net Worth,N,ôÁô¢ô£,Yes,7
89,Benedicto,Hoxey,Male,74,22-01-1967,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14
90,Cary,Garron,Male,76,12-11-1984,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11
91,Dylan,Meaker,Male,69,24-02-1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,0•ü‰£ 1•ü‰£ 2•ü‰£ 3•ü‰£ 4•ü‰£ 5•ü‰£ 6•ü‰£ 7•ü‰£ 8•ü‰£ 9•ü‰£ ?,Yes,17
92,Jodee,Judkins,Female,98,11-09-1980,Recruiting Manager,Health,Mass Customer,N,‰‰‰,No,12
93,Gordon,Gowar,Male,63,16-07-1976,Project Manager,Retail,Mass Customer,N,0/0,Yes,10
94,Wallache,Simchenko,Male,33,07-08-1974,Civil Engineer,Manufacturing,Mass Customer,N,(•?ˆ?´ˆ?´•?•?•ÈÀ ‰È‰‰È,No,21
95,Nomi,Mallinder,Female,67,25-12-1960,Software Engineer III,Manufacturing,Affluent Customer,N,"¯Çô ôô¯? ¯?ô¯á¯» ô¯¬¯¤ô¯»¯?¯øô¯ø¯, ¯Â¯?ô¯±¯»ô ¯¬¯¤¯?¯»¯¨¯ø¯¤ô ¯£ô ¯øôô. ¯´¯¡ ôô¯¤¯ ¯¤ô¯?¯»¯¤¯± ô¯»ô¯µô¯¬ ô¯¤ô. ¯£ôôô ¯¤ô¯á¯¤ôô¯¤¯ ¯¬¯±ô¯á¯¤ôô¯¤-ô¯±ô¯?¯¤ ô¯ø ¯£¯¨¯¡. ¯?ôôô¯¤ô¯ ¯´¯»ô¯¤ôô¯© ¯¬ôô ô¯¤, ô¯¡ô¯± ¯",Yes,8
96,Heath,Olford,Male,33,31-08-1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Œ£?¾?¢»,No,15
97,Arne,Corain,Male,16,27-07-1979,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10
98,Allianora,Babalola,Female,19,17-03-1956,Safety Technician IV,Health,Mass Customer,N,,No,7
99,Reggie,Mulliner,Male,97,13-06-1998,VP Accounting,Financial Services,Mass Customer,N,í?HêíÂí?íí?eê êíí´ííÈêíwíhííøêoíêíêí±í¨ ñí¼íííêWíáí?í?aí¼í»êií¬êêí?êíøítí¦í?í¨sííêê íÊíÇíÊBíÈêêêêí?eíµhíµíÂêíÇêiíí?êí?í?í¨êíÇnêdí«í»íí êí¡êí©êêêí?Tê¢êí?êí»hêêí¨íÈeíÂíêí í?í?íWêêêííêêaêêêí?í?,No,3
100,Tripp,Steed,Male,80,11-05-1968,General Manager,Financial Services,Mass Customer,N,?? ? ? ? ? ? ? ?¤,Yes,4
101,Goran,Kwietek,Male,83,29-12-1975,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11
102,Langsdon,Tranfield,Male,51,27-11-1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,?…ü?…¡?»…ü?test¯¤ô¯µô¯?¯¤¯» ¯¤ô¯»ô¯?ôô,No,16
103,Ethyl,Runham,Female,49,21-04-1997,Product Engineer,Financial Services,Affluent Customer,N,‹?ˆ??ˆ¼ôêˆ¼ˆ??•? ‹?ˆ??ˆ¼ôêˆ¼ˆ??•?,Yes,4
104,Odille,Panketh,Female,40,06-06-1978,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9
105,Maribeth,Pristnor,Female,25,17-09-2001,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1
106,Glyn,,Male,54,03-07-1966,Software Test Engineer III,Health,High Net Worth,N,‹‹?‹‹£‹?‹üÁ‹‹»‹‹,Yes,18
107,Pris,Stallebrass,Female,97,01-07-1990,Nurse Practicioner,Financial Services,Mass Customer,N,•?•?¬(å«‰•?‰©,Yes,9
108,Kayle,Mingaud,Female,4,14-03-1994,,n/a,High Net Worth,N,‰?À ?»?À ??À ??À ??À ??À,No,3
109,Cody,Blabey,Male,16,11-12-1978,Marketing Assistant,n/a,Affluent Customer,N,1.00E+02,Yes,4
110,Sascha,St. Quintin,Male,23,31-07-2000,,Financial Services,Affluent Customer,N,Tíí?í¼í¼oê íáií?íÂêí»ênííêvêíííí?oí¦íí¡íÊkeêêí¨í¼í»í?í±í? ítêíêí?í£íÈí»hí?êí?í?í?íí?eêí£í¡í?íÂê í¢í?íÈí±íhêêêêíí£í?ií?í?í£í¡í?víÈêeí¼í?í?í»í¡-mí¢iêníí¼íí?íøí¡díµí?íêí©í?íí? íí´í±í?í?ríííeêpêÊrí?ííÈí?íeêí¼íÊí£sí,No,1
111,Cele,Evason,Female,65,29-08-1993,Analyst Programmer,n/a,Mass Customer,N,ÌÌÌÌèÌÌ•£ÀÌÌÌ‰,No,2
112,Shena,Parren,Female,88,12-08-1975,Marketing Manager,Retail,High Net Worth,N,ë©‰Ì¤‰‰Çèåµ‰?‰´Ìá,No,12
113,Gage,Nickless,Male,67,06-05-1956,Staff Scientist,n/a,Mass Customer,N,(•?Á‰ ‰ ‰•?Á),No,20
114,Sunny,Swindells,Female,10,23-10-1985,Teacher,Entertainment,Affluent Customer,N,-1.00E+02,No,8
115,Alberik,Mereweather,Male,77,21-12-1981,Account Executive,Health,Mass Customer,N,null,No,18
116,Scottie,Swiffen,Male,49,05-02-1999,Assistant Professor,Manufacturing,Affluent Customer,N,?? ? ? ? ? ? ? ?¤,Yes,2
117,Nance,Suttling,Female,75,23-02-1982,Marketing Manager,Manufacturing,Mass Customer,N,Tíí?í¼í¼oê íáií?íÂêí»ênííêvêíííí?oí¦íí¡íÊkeêêí¨í¼í»í?í±í? ítêíêí?í£íÈí»hí?êí?í?í?íí?eêí£í¡í?íÂê í¢í?íÈí±íhêêêêíí£í?ií?í?í£í¡í?víÈêeí¼í?í?í»í¡-mí¢iêníí¼íí?íøí¡díµí?íêí©í?íí? íí´í±í?í?ríííeêpêÊrí?ííÈí?íeêí¼íÊí£sí,No,15
118,Prentice,Pearmain,Male,43,12-11-1959,Budget/Accounting Analyst IV,n/a,High Net Worth,N,(•?ˆ?´ˆ?´•?•?•ÈÀ ‰È‰‰È,No,19
119,Willey,Chastanet,Male,9,04-12-1981,Associate Professor,n/a,High Net Worth,N,,Yes,9
120,Sloan,Wagg,Male,80,02-09-1978,Legal Assistant,Financial Services,High Net Worth,N,‰¡‰«‰µ,Yes,4
121,Myles,Pauncefort,Male,82,02-10-1957,Graphic Designer,Manufacturing,Mass Customer,N,¬?¾Ê?,No,15
122,Colver,Itter,Male,87,19-04-1979,Quality Control Specialist,Financial Services,Mass Customer,N,èƒnb‡«lƒ ƒu®ƒƒø ‚ƒ?olop æ‚ ‚ƒ?oqƒl æn æunp‡«p‡«ƒu‡« ƒ?odƒø‚æ poƒøsn‡«‚ op p‚s 'æ‡«l‚ ®u‡«ƒs‡«d‡«pƒ ƒ?næ‚æƒ‚suoƒ 'æ‚ƒøƒ æ‡«s ƒ?olop ƒønsd‡« ƒø‚ƒ?oè´,Yes,12
123,Almeta,Kalinsky,Female,85,03-12-1988,Analyst Programmer,Financial Services,High Net Worth,N,1.00E+96,No,15
124,Kath,Cunney,Female,27,03-05-1995,Administrative Assistant II,Health,High Net Worth,N,¡Šü?‹‹‹Ç‹‹‹?Šü‹‹,Yes,5
125,Darrelle,Antoniewski,Female,94,17-03-1960,Computer Systems Analyst II,Property,Mass Customer,N,‹?ˆ??ˆ¼ôêˆ¼ˆ??•? ‹?ˆ??ˆ¼ôêˆ¼ˆ??•?,No,16
126,Norman,Cliff,Male,53,15-10-1992,Administrative Officer,Health,Mass Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,3
127,Merrili,Whitear,Female,81,03-12-1974,Compensation Analyst,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/passwd%00,No,19
128,Isidro,Cypler,Male,73,17-07-1977,Systems Administrator III,Property,Mass Customer,N,‡Ê,Yes,12
129,Weidar,Silkstone,Male,64,20-07-1985,Financial Advisor,Financial Services,High Net Worth,N,"__•?(,_,*)",Yes,19
130,Raddy,Delete,Male,32,18-07-1997,Chemical Engineer,Manufacturing,Mass Customer,N,-1.00E+02,No,1
131,Jana,Renyard,Female,57,16-10-1964,Administrative Officer,Retail,High Net Worth,N,"?…?…¡?¬…µ??©?…«??», ?…?…ü?¬…ü? ?…±?…??…«??, ?…µ?» ?…á?©…??…ü?…á?…«?, ?…¡?…µ?» ?…ü?…ü?¬…¦?´",No,8
132,Celesta,Willavoys,Female,5,07-07-1963,Web Designer I,Manufacturing,Mass Customer,N,`‰‰Â‰?‰¼•Â•Â‰Áå¡åá‰‰å±,Yes,9
133,Eldridge,Fiddeman,Male,12,13-06-1977,VP Accounting,Financial Services,Mass Customer,N,",./;'[]\-=",Yes,16
134,Merna,McCulloch,Female,34,01-08-1997,Legal Assistant,Telecommunications,Affluent Customer,N,åÁ‰¢å£å¢‰å¤å¦‰¢å»å¼‰‰Ê,Yes,5
135,Rosalia,Sigart,Female,18,18-01-1975,Internal Auditor,IT,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,3
136,Mel,Bennet,Male,46,26-05-1973,Senior Developer,Manufacturing,High Net Worth,N,(‰øå¡‰Áå¡•?‰ø•üµ ‰È‰‰È),Yes,7
137,Vaughn,Artin,Male,27,21-11-1987,Office Assistant II,Property,High Net Worth,N,1'; DROP TABLE users--,No,10
138,Onofredo,Franc,Male,5,28-04-1985,Recruiter,Financial Services,Affluent Customer,N,‹È(•À£‰•À£)‹È:*:,Yes,13
139,Gar,,Male,1,28-07-1964,Operator,Telecommunications,Affluent Customer,N,-1.00E+02,No,4
140,Morrie,Flaxon,Male,9,20-05-1994,Programmer Analyst III,Manufacturing,Mass Customer,N,1/0,No,2
141,Townsend,Trobe,Male,67,25-06-1954,Teacher,Financial Services,High Net Worth,N,`‰‰Â‰?‰¼•Â•Â‰Áå¡åá‰‰å±,Yes,10
142,Bentley,Fortesquieu,Male,57,07-08-1967,Quality Engineer,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,No,17
143,Kendall,Figg,Male,19,01-09-1957,Operator,Argiculture,Mass Customer,N,?µ ? ? ?,Yes,11
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,,No,
145,Filippo,Ferrara,Male,33,21-07-1997,Account Executive,Financial Services,Mass Customer,N,NIL,No,4
146,Ricoriki,Matlock,Male,34,08-04-1985,Quality Control Specialist,Manufacturing,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,8
147,Rea,Pattrick,Female,32,06-12-1973,Analog Circuit Design manager,Health,Mass Customer,N,?? ? ? ? ? ? ? ?,Yes,10
148,Jaquith,Maffey,Female,69,08-05-1981,Programmer Analyst III,n/a,Mass Customer,N,¡Šü?‹‹‹Ç‹‹‹?Šü‹‹,Yes,5
149,Drucy,Kausche,Female,41,31-01-1995,Research Nurse,Health,Mass Customer,N,1/0,Yes,1
150,Bradly,Crosse,Male,6,23-08-1983,Cost Accountant,Financial Services,Affluent Customer,N,/dev/null; touch /tmp/blns.fail ; echo,No,17
151,Donnie,Brimson,Male,36,31-01-1965,Marketing Manager,Manufacturing,Mass Customer,N,•?•?´‰À‹?‰?(•?Á‰‰À‰•?Á)‰±‰À•?´•?,Yes,13
152,Stephana,Cardew,Female,5,03-03-1981,Compensation Analyst,Financial Services,Mass Customer,N,00è®$-,No,16
153,Lorilyn,Walshe,Female,73,28-07-1977,Assistant Media Planner,Entertainment,Mass Customer,N,“Â’??’“ “«’“¡µÂ“,Yes,12
154,Faydra,Dulieu,Female,90,13-02-1958,Junior Executive,n/a,Mass Customer,N,,No,11
155,Orran,Bogges,Male,4,28-12-1985,Quality Engineer,Manufacturing,Mass Customer,N,"¯Çô ôô¯? ¯?ô¯á¯» ô¯¬¯¤ô¯»¯?¯øô¯ø¯, ¯Â¯?ô¯±¯»ô ¯¬¯¤¯?¯»¯¨¯ø¯¤ô ¯£ô ¯øôô. ¯´¯¡ ôô¯¤¯ ¯¤ô¯?¯»¯¤¯± ô¯»ô¯µô¯¬ ô¯¤ô. ¯£ôôô ¯¤ô¯á¯¤ôô¯¤¯ ¯¬¯±ô¯á¯¤ôô¯¤-ô¯±ô¯?¯¤ ô¯ø ¯£¯¨¯¡. ¯?ôôô¯¤ô¯ ¯´¯»ô¯¤ôô¯© ¯¬ôô ô¯¤, ô¯¡ô¯± ¯",No,10
156,Shayla,Rimmington,Female,23,09-09-1979,Cost Accountant,Financial Services,Mass Customer,N,Tíí?í¼í¼oê íáií?íÂêí»ênííêvêíííí?oí¦íí¡íÊkeêêí¨í¼í»í?í±í? ítêíêí?í£íÈí»hí?êí?í?í?íí?eêí£í¡í?íÂê í¢í?íÈí±íhêêêêíí£í?ií?í?í£í¡í?víÈêeí¼í?í?í»í¡-mí¢iêníí¼íí?íøí¡díµí?íêí©í?íí? íí´í±í?í?ríííeêpêÊrí?ííÈí?íeêí¼íÊí£sí,Yes,11
157,Chad,Houtby,Male,97,23-11-1974,Financial Advisor,Financial Services,Affluent Customer,N,1.00E+02,No,16
158,Hamlin,Odams,Male,99,03-09-1984,Internal Auditor,n/a,Affluent Customer,N,1.00E+02,No,5
159,Arin,Matskevich,Male,90,12-05-1987,Research Nurse,Health,Affluent Customer,N,‹È(•À£‰•À£)‹È:*:,No,13
160,Wake,Durning,Male,5,15-07-1964,Registered Nurse,Health,Mass Customer,N,íÁêêíIêííí?nêêêví¨íÇokí?íÇíêiíêí?í?íÊíníÁíÈí¨í£í¼gí?êêí?êíÂê í¡têí?híí?eí¢í? êíÂí?êfí«íêí£eêêeí£í´í©lêêêiêÊêêí?nêêíêí?í¨gê í¬oêÁêí»fíí£íÂ ííêíêí¨cñêíÇêêêêêhíµí?í£êêaêíí?êêoí?í£í´sê¢í±êí¼íí?íÈ.íí,No,18
161,Tadd,Bloss,Male,49,21-01-1976,,n/a,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16
162,Port,Acuna,Male,90,12-08-1979,Nurse Practicioner,IT,Mass Customer,N,ôÁô¢ô£,No,15
163,Kessia,Helder,Female,58,06-09-1976,Librarian,Entertainment,High Net Worth,N,ôÁô¢ô£,Yes,14
164,Aarika,Van Vuuren,Female,55,07-08-1999,Senior Editor,Retail,Affluent Customer,N,NIL,Yes,1
165,Aldon,Roelofs,Male,61,25-03-1984,Administrative Officer,Argiculture,Mass Customer,N,ôÁô¢ô£,Yes,12
166,Elston,Oleszczak,Male,54,12-06-1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,‰¢,No,6
167,Nathalie,Tideswell,Female,95,27-10-1969,,Health,High Net Worth,N,-1,Yes,17
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,N,,Yes,
169,Alfy,Bruhnke,Male,20,19-10-1957,Data Coordiator,Telecommunications,High Net Worth,N,åÁ‰¢å£å¢‰å¤å¦‰¢å»å¼‰‰Ê,Yes,5
